공종별,건축
2006. 01,4142681
2006. 02,4082747
2006. 03,5372362
2006. 04,5387604
2006. 05,5367395
2006. 06,5792567
2006. 07,5019423
2006. 08,5327780
2006. 09,5868320
2006. 10,5501257
2006. 11,6182810
2006. 12,6414549
2007. 01,4615516
2007. 02,4365291
2007. 03,5190588
2007. 04,5452039
2007. 05,5461612
2007. 06,5854329
2007. 07,5455108
2007. 08,5542243
2007. 09,5416700
2007. 10,5919807
2007. 11,6227255
2007. 12,7007019
2008. 01,4659841
2008. 02,4201037
2008. 03,5021014
2008. 04,5163279
2008. 05,5141003
2008. 06,5441561
2008. 07,5075926
2008. 08,4909587
2008. 09,5184980
2008. 10,4886229
2008. 11,4952464
2008. 12,5015810
2009. 01,3627100
2009. 02,3712837
2009. 03,4384713
2009. 04,4618830
2009. 05,4602606
2009. 06,5501336
2009. 07,4676138
2009. 08,4382933
2009. 09,5331938
2009. 10,4621421
2009. 11,4967962
2009. 12,5381261
2010. 01,3819100
2010. 02,3617961
2010. 03,4444372
2010. 04,4288926
2010. 05,4428049
2010. 06,4890586
2010. 07,4379769
2010. 08,4080822
2010. 09,4182326
2010. 10,4165059
2010. 11,4402054
2010. 12,5182484
2011. 01,3376265
2011. 02,2906958
2011. 03,4091875
2011. 04,3992201
2011. 05,3934359
2011. 06,4761087
2011. 07,3793093
2011. 08,3722418
2011. 09,4251621
2011. 10,4265642
2011. 11,4096257
2011. 12,5092012
2012. 01,3048236
2012. 02,3263999
2012. 03,3828389
2012. 04,3538941
2012. 05,3732282
2012. 06,3957013
2012. 07,3829398
2012. 08,3356669
2012. 09,3985511
2012. 10,3889806
2012. 11,3971704
2012. 12,4688606
2013. 01,3218102
2013. 02,3245106
2013. 03,4103946
2013. 04,4405888
2013. 05,4331159
2013. 06,4751609
2013. 07,4181517
2013. 08,4283145
2013. 09,4447844
2013. 10,4618520
2013. 11,4952574
2013. 12,5339694
2014. 01,3970283
2014. 02,3878221
2014. 03,4537721
2014. 04,4967888
2014. 05,4823633
2014. 06,5305303
2014. 07,4625176
2014. 08,4490243
2014. 09,4562819
2014. 10,4702756
2014. 11,4721773
2014. 12,5354129
2015. 01,3965879
2015. 02,3961229
2015. 03,4596035
2015. 04,4600605
2015. 05,4773761
2015. 06,5393932
2015. 07,5007587
2015. 08,4904285
2015. 09,5434429
2015. 10,5380910
2015. 11,5526060
2015. 12,6478355
2016. 01,4748006
2016. 02,4754756
2016. 03,5886459
2016. 04,5752243
2016. 05,6028631
2016. 06,6982710
2016. 07,6128001
2016. 08,6355725
2016. 09,6424468
2016. 10,6750631
2016. 11,7361829
2016. 12,8268552
2017. 01,5815397
2017. 02,6161792
2017. 03,7529998
2017. 04,7425116
2017. 05,7374350
2017. 06,8277981
2017. 07,7488312
2017. 08,7522253
2017. 09,8049091
2017. 10,7150091
2017. 11,7894074
2017. 12,8711800
2018. 01,6864630
2018. 02,6186518
2018. 03,7174824
2018. 04,7561548
2018. 05,7384325
2018. 06,7925391
2018. 07,7057122
2018. 08,7023070
2018. 09,6810957
2018. 10,6971066
2018. 11,6961976
2018. 12,7900893
2019. 01,6158349
2019. 02,5614968
2019. 03,6691500
2019. 04,6680185
2019. 05,6695570
2019. 06,7381960
2019. 07,6319377
2019. 08,6221326
2019. 09,5942118
2019. 10,6391704
2019. 11 p),6279056
2019. 12 p),7370450
